POP	rivers	region	longitude	latitude	dist_source	GBS	LON_emb	LAT_emb	dist_SCO_0k	dist_SCO_3k	dist_max_km	dist_SCO_QR	N_recent
BER	Berners	Alaska	-134.9586	58.9674	1726.2638	NO	-134.982315	58.77278	NA	NA	34.83733	2654	28598.67
CAP	Capilano	BC	-123.11558	49.35415	444.9027	YES	-123.315592187762	49.2660956138478	1529	1529	23.1528	1522	30457.04
DES	Deschutes	Cascadia	-121.2456	44.8598	121.2196	NO	-124.05948	46.247533	NA	NA	490.91	1086	31679.60
INC	Inch	BC	-122.1502	49.1762	424.83983	YES	-123.261221503779	49.1161895704805	1513	1513	93.5471	1507	30111.38
KLA	Klamath	California	-122.442	41.92941	383.5313	NO	-124.083893	46.236839	NA	NA	286.91	1085	29557.48
KWE	Kwethluk	Alaska	-161.09855	60.49574	3017.233	YES	-162.341673015886	60.0725728172146	4273	4960	248.60368	4731	27062.47
PAL	Pallant	HaidaGwaï	-132.0635	53.0574	1095.7233	YES	-131.515572290795	52.9792924850069	1929	1974	38.13409	1949	27483.07
QUI	Quilcene	Cascadia	-122.9127	47.8103	272.3877	YES	-125.121008225936	49.9636346077069	1663	1663	28.33744	1664	30526.57
ROB	Robertson	BC	-124.981	49.3369	476.2021	YES	-125.313061572363	48.8058667758041	1374	1374	92.04761	1377	32887.48
SAL	Salmon	Thompson	-119.3357	50.68361	639.2808	YES	-123.261221503779	49.1161895704805	1513	1513	633.35675	1507	27409.50
TSO	Tsooyess	Cascadia	-124.65	48.2913	360.2314	NO	-124.661217	48.325711	NA	NA	15.2784	1322	31292.05
SNA	SNA	Alaska	-165.53393	64.5244	3289.383	YES	-165.404772259965	64.4293467350984	4788	5475	26.84406	5289	28442.50
MSL	MileSlough	Alaska	-149.1235	64.50224	2598	YES	-164.958360791223	62.635811113407	4607	5293	1569.79409	5107	26178.90
POR	Porcupine	Alaska	-141	67.41056	2593	YES	-164.958360791223	62.635811113407	4607	5293	2437.22396	5107	 24847.82
