POP	GCclasses	nb_CDS	medianGC3	pNseq	pSseq	NbSynSites	totallengthCDS	pNpS
POP1	1	5931	0.448836	7706.3000	4963.2200	1004500.0	4000071.0	.52024
POP1	2	3528	0.511628	6399.5200	4921.7300	1013800.0	4000392.0	.44123
POP1	3	3209	0.549153	5285.7300	4556.1500	1021000.0	4001763.0	.39686
POP1	4	3327	0.574273	4547.1900	4367.9700	1019470.0	4000380.0	.35514
POP1	5	3048	0.594366	3954.5700	4438.8000	1018900.0	4000620.0	.30344
POP1	6	2956	0.609254	3718.8000	4293.3700	1022570.0	4000173.0	.29594
POP1	7	2816	0.62212	3505.9900	4308.7000	1025680.0	4000602.0	.27857
POP1	8	2733	0.634062	3156.3400	4372.3500	1027360.0	4000035.0	.24941
POP1	9	2695	0.643994	3299.5600	4583.9100	1027850.0	4007727.0	.24719
POP1	10	2508	0.653589	3187.0000	4542.8800	1028580.0	4002870.0	.24263
POP1	11	2456	0.661417	3080.1300	4636.5500	1028620.0	4000365.0	.22888
POP1	12	2419	0.66884	2859.8900	4687.0200	1028870.0	4005279.0	.21098
POP1	13	2273	0.675841	2734.8900	4600.3300	1028490.0	4000899.0	.20581
POP1	14	2198	0.682927	2725.4600	4642.5100	1030910.0	4000968.0	.20222
POP1	15	2193	0.689552	2709.2400	4712.3700	1030650.0	4007454.0	.19912
POP1	16	2131	0.695985	2457.7200	4730.8900	1030420.0	4000254.0	.17864
POP1	17	2102	0.702425	2337.3400	4569.1100	1029690.0	4001805.0	.17607
POP1	18	2082	0.708738	2371.3200	4784.4100	1030890.0	4003218.0	.17025
POP1	19	2061	0.716184	2241.7700	4989.2000	1029710.0	4001205.0	.15495
POP1	20	1987	0.722571	2074.0200	4982.3300	1034310.0	4001565.0	.14345
POP1	21	2149	0.730878	2021.9100	4944.5900	1031320.0	4000725.0	.14196
POP1	22	2236	0.740947	1903.2500	4926.4500	1031100.0	4001172.0	.13417
POP1	23	2201	0.752918	1944.2400	5229.0900	1033440.0	4001106.0	.12871
POP1	24	2276	0.767184	1858.5100	5240.4800	1034750.0	4000770.0	.12252
POP1	25	2690	0.790345	1592.2900	5361.3400	1027170.0	4000251.0	.10172
POP1	26	943	0.818841	302.504	1040.670	176977.000	689502.000	.10034
POP2	1	6317	0.421053	6663.7900	3983.1900	1023120.0	4008309.0	.57326
POP2	2	3199	0.484127	6260.5500	4354.4600	1008080.0	4001163.0	.48491
POP2	3	3125	0.52122	5430.6700	4223.6800	1014950.0	4002399.0	.43509
POP2	4	2853	0.544737	4611.5200	3954.4500	1022960.0	4001460.0	.39896
POP2	5	2960	0.56383	4117.2000	3733.5100	1018020.0	4000206.0	.37704
POP2	6	3110	0.579832	4136.3900	3808.5300	1020420.0	4002096.0	.36997
POP2	7	2779	0.593188	3539.8700	3691.3400	1019990.0	4002840.0	.32686
POP2	8	2850	0.604348	3528.5100	3969.9500	1021790.0	4000797.0	.30412
POP2	9	2827	0.614035	3275.5400	3990.9900	1023680.0	4001148.0	.28277
POP2	10	2646	0.622685	3133.0900	3958.1600	1025610.0	4000389.0	.27272
POP2	11	2695	0.630854	2877.7600	3995.2300	1026080.0	4001871.0	.24678
POP2	12	2487	0.637444	2893.5100	3897.0400	1026530.0	4001913.0	.25593
POP2	13	2687	0.644578	2887.3700	3984.6400	1026740.0	4002315.0	.25000
POP2	14	2498	0.651139	2896.9900	4099.0500	1028690.0	4012284.0	.24371
POP2	15	2424	0.65653	2829.2100	4159.5300	1028140.0	4003998.0	.23514
POP2	16	2319	0.661972	2837.7400	4058.6400	1029670.0	4002492.0	.24111
POP2	17	2400	0.666972	2602.3200	3964.0800	1028370.0	4000785.0	.22597
POP2	18	2110	0.67167	2644.9100	4117.7700	1030820.0	4011234.0	.22055
POP2	19	1861	0.675818	2137.7000	3837.6900	1019300.0	4003551.0	.18882
POP2	20	2116	0.679803	2380.0300	4010.0400	1029800.0	4001007.0	.20565
POP2	21	1958	0.684104	2526.4500	4194.3900	1028120.0	4004478.0	.20638
POP2	22	1855	0.688198	2416.4500	4190.7400	1031350.0	4000656.0	.19950
POP2	23	2045	0.691499	2399.7000	4030.4500	1029350.0	4001952.0	.20460
POP2	24	2138	0.69598	2150.4500	3958.9100	1028480.0	4000383.0	.18750
POP2	25	2021	0.7	2145.4900	3941.5000	1028090.0	4000353.0	.18798
POP2	26	1854	0.704167	2077.5700	3857.0700	1029590.0	4000860.0	.18449
POP2	27	1812	0.707807	2096.1700	4250.8400	1031480.0	4002516.0	.16990
POP2	28	1929	0.711742	1899.7400	4434.9200	1028910.0	4002837.0	.14617
POP2	29	1988	0.716289	1894.8600	4247.6000	1033040.0	4005741.0	.15328
POP2	30	1843	0.720615	1888.9300	4521.8000	1035500.0	4000968.0	.14449
POP2	31	1935	0.725316	1995.3200	4400.7600	1030190.0	4001166.0	.15690
POP2	32	1984	0.73031	1881.5300	4381.7200	1030490.0	4000611.0	.14823
POP2	33	2071	0.736419	1785.5300	4589.8600	1030780.0	4000086.0	.13483
POP2	34	1998	0.743017	1694.4100	4488.6800	1032170.0	4000587.0	.13133
POP2	35	2000	0.749269	1743.3000	4443.8900	1033080.0	4002162.0	.13488
POP2	36	2284	0.757962	1736.4300	4628.6700	1030900.0	4001979.0	.12946
POP2	37	1984	0.767236	1507.2200	4416.2200	1035950.0	4001367.0	.11737
POP2	38	2298	0.778107	1653.2500	4864.4600	1029210.0	4000590.0	.11652
POP2	39	2569	0.799644	1430.4700	4766.4800	1027870.0	4000395.0	.10367
POP2	40	1226	0.821895	330.505	1181.420	232146.000	903015.000	.09645
POP3	1	5949	0.447915	7002.0100	4407.8200	1004660.0	4000842.0	.53196
POP3	2	3522	0.510036	5810.0100	4241.4600	1012670.0	4000356.0	.46411
POP3	3	3216	0.547361	4953.6400	4172.1900	1020420.0	4001574.0	.40686
POP3	4	3222	0.572398	4216.3800	3989.6400	1022230.0	4010010.0	.36153
POP3	5	3107	0.592593	3580.4200	3865.2300	1018020.0	4000689.0	.31662
POP3	6	2902	0.607639	3272.5600	3835.2800	1022600.0	4001049.0	.29066
POP3	7	2838	0.620553	3021.5600	3864.0100	1025620.0	4000188.0	.26861
POP3	8	2730	0.63253	2816.4400	3893.5400	1027180.0	4001901.0	.24802
POP3	9	2717	0.642086	2896.5000	4096.6600	1027480.0	4001454.0	.24371
POP3	10	2498	0.651905	2749.2400	4014.0800	1027240.0	4001184.0	.23589
POP3	11	2466	0.659714	2816.7100	4178.6800	1028600.0	4000659.0	.23152
POP3	12	2432	0.667431	2425.5100	4038.8400	1029100.0	4000485.0	.20663
POP3	13	2243	0.674168	2346.8700	4059.7600	1027440.0	4001769.0	.19746
POP3	14	2161	0.681081	2317.0400	4039.7300	1031270.0	4002069.0	.19693
POP3	15	2216	0.687675	2290.0900	4114.6500	1029450.0	4005828.0	.19047
POP3	16	2142	0.693966	2246.9500	4103.4100	1029670.0	4000821.0	.18844
POP3	17	2113	0.700205	1901.0300	4006.9800	1028710.0	4001274.0	.16195
POP3	18	1935	0.706462	2038.6900	4147.4400	1031910.0	4000353.0	.16957
POP3	19	2142	0.713283	1856.7300	4269.4400	1029970.0	4000941.0	.14975
POP3	20	1879	0.719852	1883.4400	4432.9200	1033340.0	4000191.0	.14719
POP3	21	2107	0.72724	1796.7400	4353.5600	1030200.0	4000242.0	.14218
POP3	22	2242	0.736076	1769.5800	4360.9600	1031170.0	4001679.0	.13981
POP3	23	2123	0.746594	1601.4300	4290.1600	1032980.0	4001466.0	.12771
POP3	24	2373	0.75	1549.1500	4379.8400	1033500.0	4002153.0	.12293
POP3	25	2361	0.775	1447.5500	4670.2900	1031870.0	4004043.0	.10619
POP3	26	2321	0.818942	923.503	3233.110	692562.000	2694885.000	.09871
