POP	GCclasses	nb_CDS	medianGC3	pNseq	pSseq	NbSynSites	totallengthCDS	pNpS
EVEN	1	2316	0.429691	2669.1500	1592.5700	1026690.0	4000299.0	.57419
EVEN	2	2444	0.492277	2533.6000	1814.8500	1014740.0	4000839.0	.47191
EVEN	3	2603	0.53041	2383.7100	1720.2900	1017820.0	4003002.0	.46745
EVEN	4	2297	0.554717	1999.3700	1597.5800	1017830.0	4000179.0	.42948
EVEN	5	2564	0.571429	1967.4800	1645.6000	1022280.0	4000359.0	.41250
EVEN	6	2592	0.588055	1772.7700	1615.1600	1021470.0	4000515.0	.37341
EVEN	7	2412	0.601129	1558.4500	1569.0100	1025490.0	4000131.0	.33986
EVEN	8	2302	0.611446	1536.4600	1656.6800	1028930.0	4011891.0	.31677
EVEN	9	2218	0.621118	1507.9600	1795.5200	1028400.0	4000638.0	.28735
EVEN	10	2293	0.629775	1421.6000	1682.4300	1028550.0	4000038.0	.28834
EVEN	11	2117	0.637328	1390.3400	1673.1400	1029490.0	4000578.0	.28395
EVEN	12	2110	0.643993	1391.4500	1686.6000	1029430.0	4000890.0	.28220
EVEN	13	2113	0.649954	1256.5200	1695.0800	1030920.0	4001352.0	.25609
EVEN	14	2002	0.655856	1272.8800	1615.8400	1032070.0	4003095.0	.26923
EVEN	15	1856	0.661074	1328.7600	1764.1000	1032690.0	4002180.0	.25882
EVEN	16	1882	0.666134	1267.6100	1642.3600	1030260.0	4001868.0	.26415
EVEN	17	1728	0.670761	1157.4800	1757.2600	1020380.0	4001331.0	.22093
EVEN	18	1889	0.675556	1236.4700	1669.5500	1030630.0	4006068.0	.25465
EVEN	19	1810	0.680425	1212.8100	1695.7600	1030770.0	4001436.0	.24390
EVEN	20	1769	0.685289	1168.8000	1734.8700	1031700.0	4002702.0	.23214
EVEN	21	1701	0.689769	1173.2600	1737.6800	1030540.0	4001673.0	.23214
EVEN	22	1694	0.694199	1072.3300	1734.3500	1032740.0	4000977.0	.21556
EVEN	23	1587	0.698675	998.1620	1713.4500	1035920.0	4001046.0	.20000
EVEN	24	1670	0.70279	1022.9800	1676.7800	1030440.0	4000464.0	.20987
EVEN	25	1620	0.707377	1073.1900	1769.9400	1030930.0	4000653.0	.21052
EVEN	26	1495	0.712121	1169.2100	1860.0000	1028100.0	4000503.0	.21666
EVEN	27	1585	0.716418	1055.1200	1796.5300	1030200.0	4001874.0	.20114
EVEN	28	1497	0.720906	1014.5500	1668.4600	1032030.0	4001235.0	.21118
EVEN	29	1759	0.726804	995.0310	1890.9900	1034090.0	4001661.0	.18131
EVEN	30	1857	0.733598	956.0160	1946.0900	1031910.0	4000971.0	.17021
EVEN	31	1786	0.741317	1026.2600	1874.0400	1035090.0	4001232.0	.18784
EVEN	32	1756	0.749548	1001.6000	1989.3400	1038600.0	4000842.0	.17277
EVEN	33	1833	0.75976	1004.8400	2079.5200	1035900.0	4002948.0	.16500
EVEN	34	1870	0.772605	811.5780	2076.8700	1037360.0	4007571.0	.13500
EVEN	35	2043	0.795841	793.0050	2144.3700	1030070.0	4000809.0	.12500
EVEN	36	313	0.829653	52.934	172.136	75810.000	292428.000	.10572
ODD	1	2311	0.431444	2616.5100	1764.9000	1030100.0	4005756.0	.50877
ODD	2	2422	0.495238	2266.0600	1659.6300	1016150.0	4005015.0	.46012
ODD	3	2604	0.531963	2120.6900	1565.6100	1016440.0	4000737.0	.46103
ODD	4	2351	0.555715	1865.4500	1491.9400	1019350.0	4000035.0	.42465
ODD	5	2544	0.572935	1806.3200	1594.3200	1023580.0	4000263.0	.38709
ODD	6	2619	0.588921	1625.0500	1495.5700	1021630.0	4000014.0	.36986
ODD	7	2364	0.601942	1756.8200	1638.2200	1025480.0	4001613.0	.37106
ODD	8	2257	0.612245	1536.9300	1645.3100	1027400.0	4002780.0	.31875
ODD	9	2178	0.621622	1483.2600	1698.2700	1029010.0	4000119.0	.29696
ODD	10	2311	0.630189	1355.4900	1697.9900	1028330.0	4000074.0	.27272
ODD	11	2086	0.637627	1207.8700	1546.4300	1029760.0	4000203.0	.26666
ODD	12	2098	0.64433	1314.5200	1676.7200	1030490.0	4003227.0	.27160
ODD	13	2047	0.650255	1242.5500	1686.4000	1030320.0	4000968.0	.25153
ODD	14	1986	0.656193	1233.7600	1636.7000	1032120.0	4002006.0	.25949
ODD	15	1848	0.661281	1304.3500	1616.4400	1035140.0	4006143.0	.27564
ODD	16	1814	0.666068	1225.4000	1635.8400	1027670.0	4001103.0	.25786
ODD	17	1743	0.670835	1061.7200	1637.2600	1020830.0	4001007.0	.21875
ODD	18	1885	0.675507	1241.5700	1643.5800	1028830.0	4000797.0	.25786
ODD	19	1760	0.680328	1166.5700	1629.0700	1030070.0	4001079.0	.24683
ODD	20	1761	0.685164	1112.0800	1658.8600	1032270.0	4001700.0	.23125
ODD	21	1665	0.689542	1157.0000	1649.9500	1032820.0	4000821.0	.23899
ODD	22	1668	0.693851	1062.9900	1760.4300	1032730.0	4004928.0	.20588
ODD	23	1604	0.698473	1010.8200	1663.7900	1036440.0	4000365.0	.21250
ODD	24	1705	0.702646	1096.2800	1707.3200	1030920.0	4002060.0	.21818
ODD	25	1582	0.707101	991.3070	1755.6900	1031250.0	4001793.0	.19411
ODD	26	1480	0.711832	1044.1200	1776.7200	1028300.0	4002261.0	.20348
ODD	27	1622	0.715914	1063.2000	1808.1500	1030090.0	4001013.0	.20000
ODD	28	1489	0.720657	1029.6000	1717.8700	1032350.0	4003272.0	.20481
ODD	29	1733	0.726573	1023.5200	1828.5800	1034830.0	4001478.0	.19318
ODD	30	1841	0.73324	910.3670	1899.7300	1032850.0	4000704.0	.16393
ODD	31	1812	0.740838	929.6050	1790.4400	1035380.0	4002201.0	.18023
ODD	32	1724	0.748927	970.6450	1939.4100	1039160.0	4002990.0	.17204
ODD	33	1859	0.758782	926.3750	1977.5800	1035610.0	4000251.0	.16315
ODD	34	1765	0.771084	864.7490	1996.5800	1035670.0	4000212.0	.15104
ODD	35	1959	0.793103	732.6070	2216.3400	1030770.0	4001475.0	.11162
ODD	36	563	0.816568	114.193	332.073	175743.000	678879.000	.11702
